OBJECTID,TILE_NAME,LOCATION,PLAN_TILE,PLN_AREA,Z_APPROVAL,Z_DIMENSIO,ZONING,TRAN_COR,ANID
321,R11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-r11.pdf,R11,P,P,P,P,N,321
322,R8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-r8.pdf,R8,P,P,P,P,N,322
323,R7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-r7.pdf,R7,P,P,P,P,N,323
324,R6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-r6.pdf,R6,P,P,P,P,N,324
325,R5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-r5.pdf,R5,P,P,P,P,N,325
326,R4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-r4.pdf,R4,P,P,P,P,N,326
327,Q12,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-q12.pdf,Q12,P,P,P,P,N,327
328,Q11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-q11.pdf,Q11,P,P,P,P,N,328
329,Q10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-q10.pdf,Q10,P,P,P,P,N,329
330,Q8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-q8.pdf,Q8,P,P,P,P,N,330
331,Q9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-q9.pdf,Q9,P,P,P,P,N,331
332,Q7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-q7.pdf,Q7,P,P,P,P,N,332
333,Q6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-q6.pdf,Q6,P,P,P,P,N,333
334,Q5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-q5.pdf,Q5,P,P,P,P,N,334
335,Q4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-q4.pdf,Q4,P,P,P,P,N,335
336,P12,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-p12.pdf,P12,P,P,P,P,N,336
337,P11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-p11.pdf,P11,P,P,P,P,N,337
338,V4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-v4.pdf,V4,P,P,P,P,N,338
339,V5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-v5.pdf,V5,N,N,N,N,N,339
340,V6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-v6.pdf,V6,N,N,N,N,N,340
341,U4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-u4.pdf,U4,P,P,P,P,N,341
342,U5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-u5.pdf,U5,P,P,P,P,N,342
343,U6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-u6.pdf,U6,P,P,P,P,N,343
344,T4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-t4.pdf,T4,P,P,P,P,N,344
345,T5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-t5.pdf,T5,P,P,P,P,N,345
