"common_name","scientific_name","city","state","diameter_breast_height_CM","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","longitude_coordinate","latitude_coordinate","location_type","zipcode","address","neighborhood","location_name","ward","district","overhead_utility","condition","percent_population"
"Bean tree","Acacia salicina","Phoenix","Arizona",3.8,3.68,"FALSE","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Bean tree","Acacia salicina","Phoenix","Arizona",3.4,3.01,"FALSE","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Bean tree","Acacia salicina","Phoenix","Arizona",4.860041,2.73,"FALSE","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Desert ironwood","Olneya tesota","Phoenix","Arizona",13.94417,3.87,"TRUE","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Desert ironwood","Olneya tesota","Phoenix","Arizona",59.90317,7.38,"TRUE","4.57 to 9.14 m","45.72 to 60.96 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Honey mesquite hybrid","Prosopis glandulosa","Phoenix","Arizona",16.7553,5.35,"TRUE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Palo verde","Cercidium floridum","Phoenix","Arizona",11.155716,4.67,"FALSE","4.57 to 9.14 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Palo verde","Cercidium floridum","Phoenix","Arizona",15.741982,5.39,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Palo verde","Cercidium floridum","Phoenix","Arizona",16.359707,5.23,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Palo verde","Cercidium floridum","Phoenix","Arizona",12.987686,5.23,"FALSE","4.57 to 9.14 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Velvet mesquite","Prosopis velutina","Phoenix","Arizona",10.29138,4.05,"TRUE","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Velvet mesquite","Prosopis velutina","Phoenix","Arizona",9.774457,4.26,"TRUE","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Velvet mesquite","Prosopis velutina","Phoenix","Arizona",6.708204,3.95,"TRUE","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Chilean mesquite","Prosopis chilensis","Phoenix","Arizona",30.8,6.95,"FALSE","4.57 to 9.14 m","30.48 to 45.72 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Queen palm","Syagrus romanzoffiana","Phoenix","Arizona",25,6,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Weeping bottlebrush","Callistemon viminalis","Phoenix","Arizona",10.124228,4.7,"FALSE","4.57 to 9.14 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"(corner by coop) mulberry","Morus alba","Phoenix","Arizona",63.169534,34.6,"FALSE","more than 18.29 m","60.96 to 76.2 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Ash","Fraxinus","Phoenix","Arizona",38.496363,27.6,"no_info","more than 18.29 m","30.48 to 45.72 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Ash","Fraxinus","Phoenix","Arizona",39.87844,32.6,"no_info","more than 18.29 m","30.48 to 45.72 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Ash","Fraxinus","Phoenix","Arizona",51.649492,22.1,"no_info","more than 18.29 m","45.72 to 60.96 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Ash","Fraxinus","Phoenix","Arizona",27.7,23.6,"no_info","more than 18.29 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Chinese privet","Ligustrum sinense","Phoenix","Arizona",9.21629,5.63,"FALSE","4.57 to 9.14 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Chinese privet","Ligustrum sinense","Phoenix","Arizona",49.724139,22.6,"FALSE","more than 18.29 m","45.72 to 60.96 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Grapefruit","Citrus paradisi","Phoenix","Arizona",22.010452,4.84,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Grapefruit","Citrus paradisi","Phoenix","Arizona",31.305431,9.62,"FALSE","9.14 to 13.71 m","30.48 to 45.72 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Grapefruit","Citrus paradisi","Phoenix","Arizona",17.291038,6.28,"FALSE","4.57 to 9.14 m","15.24 to 30.48 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Grapefruit","Citrus paradisi","Phoenix","Arizona",7.993122,6.34,"FALSE","4.57 to 9.14 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Grapefruit","Citrus paradisi","Phoenix","Arizona",1.5,4.29,"FALSE","0 to 4.57 m","0 to 15.24 cm","Phoenix","NA","NA","NA","NA","NA","NA","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
